2015-02-18T10:09:48.207938-07:00 c0-0c2s12n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:52.286028-07:00 c0-0c2s4n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.182307-07:00 c0-0c0s4n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:52.285732-07:00 c0-0c1s3n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:52.286008-07:00 c0-0c1s9n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:54.351978-07:00 c0-0c1s4n3 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:54.351953-07:00 c0-0c2s4n3 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:54.326860-07:00 c0-0c1s9n3 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.182525-07:00 c0-0c2s10n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:52.310974-07:00 c0-0c0s6n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.182473-07:00 c0-0c2s3n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.244249-07:00 c0-0c0s8n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.244237-07:00 c0-0c0s5n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.711395-07:00 c0-0c1s1n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.711441-07:00 c0-0c0s2n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:52.310942-07:00 c0-0c1s11n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:52.310986-07:00 c0-0c1s4n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:52.285816-07:00 c0-0c1s10n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:52.286145-07:00 c0-0c2s10n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.182550-07:00 c0-0c0s9n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
