2015-02-18T10:09:48.711512-07:00 c0-0c0s1n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.244568-07:00 c0-0c0s11n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.207917-07:00 c0-0c0s6n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.207890-07:00 c0-0c2s4n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.244493-07:00 c0-0c2s9n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:54.326654-07:00 c0-0c1s5n3 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:54.351815-07:00 c0-0c1s11n3 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:54.326796-07:00 c0-0c0s7n3 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.269433-07:00 c0-0c2s12n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:52.285775-07:00 c0-0c0s5n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.244186-07:00 c0-0c0s7n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.244413-07:00 c0-0c1s9n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:54.326669-07:00 c0-0c2s9n3 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:54.326817-07:00 c0-0c2s11n3 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:54.326888-07:00 c0-0c1s10n3 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:47.690898-07:00 c0-0c1s2n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.182323-07:00 c0-0c0s7n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.711454-07:00 c0-0c1s2n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.244663-07:00 c0-0c2s11n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.182379-07:00 c0-0c0s5n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
