2015-02-18T10:09:52.286110-07:00 c0-0c2s3n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:52.286076-07:00 c0-0c1s8n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.182493-07:00 c0-0c0s10n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.207839-07:00 c0-0c0s11n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.244601-07:00 c0-0c2s4n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.208017-07:00 c0-0c1s11n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.244628-07:00 c0-0c2s3n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.269402-07:00 c0-0c0s6n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:54.351829-07:00 c0-0c0s9n3 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.182425-07:00 c0-0c1s3n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.182584-07:00 c0-0c2s9n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.244514-07:00 c0-0c0s3n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.182561-07:00 c0-0c1s7n0 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:52.310965-07:00 c0-0c0s11n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:48.711468-07:00 c0-0c2s1n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.244580-07:00 c0-0c1s6n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:54.326845-07:00 c0-0c1s8n3 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:52.286122-07:00 c0-0c2s11n2 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:50.244437-07:00 c0-0c0s9n1 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
2015-02-18T10:09:54.351788-07:00 c0-0c2s10n3 ERROR: Type:2; Severity:80; Class:3; Subclass:D; Operation: 2
